dialog_index,queries,hits,hit_rate,avg_max_sim
0,6,0,0.0,0.147662
1,6,0,0.0,0.128362
2,6,0,0.0,0.141114
3,6,0,0.0,0.118827
4,6,0,0.0,0.143782
5,6,0,0.0,0.16094
6,6,0,0.0,0.171882
7,6,0,0.0,0.153614
8,6,0,0.0,0.145677
9,6,0,0.0,0.184111
10,6,0,0.0,0.184902
11,6,0,0.0,0.166795
12,6,0,0.0,0.168456
13,6,0,0.0,0.190171
14,6,0,0.0,0.174946
15,6,0,0.0,0.106881
16,6,0,0.0,0.161917
17,6,0,0.0,0.187148
18,6,0,0.0,0.157841
19,6,0,0.0,0.190915
20,6,0,0.0,0.191157
21,6,0,0.0,0.150147
22,6,0,0.0,0.139681
23,6,0,0.0,0.169051
24,6,0,0.0,0.194421
25,6,0,0.0,0.125889
26,6,0,0.0,0.145248
27,6,0,0.0,0.203603
28,6,0,0.0,0.113383
29,6,0,0.0,0.169265
30,6,0,0.0,0.195064
31,6,0,0.0,0.181276
32,6,0,0.0,0.154049
33,6,0,0.0,0.148537
34,6,0,0.0,0.13989
35,6,0,0.0,0.159846
36,6,0,0.0,0.183307
37,6,0,0.0,0.165014
38,6,0,0.0,0.147876
39,6,0,0.0,0.149535
40,6,0,0.0,0.153153
41,6,0,0.0,0.133573
42,6,0,0.0,0.135891
43,6,0,0.0,0.170638
44,6,0,0.0,0.133371
45,6,0,0.0,0.167523
46,6,0,0.0,0.150415
47,6,0,0.0,0.151473
48,6,0,0.0,0.152504
49,6,0,0.0,0.167219
50,6,0,0.0,0.147638
51,6,0,0.0,0.157448
52,6,0,0.0,0.179868
53,6,0,0.0,0.194844
54,6,0,0.0,0.151424
55,6,0,0.0,0.198379
56,6,0,0.0,0.193057
57,6,0,0.0,0.170577
58,6,0,0.0,0.176512
59,6,0,0.0,0.147299
60,6,0,0.0,0.092858
61,6,0,0.0,0.123602
62,6,0,0.0,0.116576
63,6,0,0.0,0.178919
64,6,0,0.0,0.165575
65,6,0,0.0,0.187971
66,6,0,0.0,0.201963
67,6,0,0.0,0.176444
68,6,0,0.0,0.155686
69,6,0,0.0,0.179829
70,6,0,0.0,0.159406
71,6,0,0.0,0.124839
72,6,0,0.0,0.162078
73,6,0,0.0,0.220411
74,6,0,0.0,0.183993
75,6,0,0.0,0.186815
76,6,0,0.0,0.140946
77,6,0,0.0,0.171685
78,6,0,0.0,0.206846
79,6,0,0.0,0.168641
80,6,0,0.0,0.134867
81,6,0,0.0,0.138939
82,6,0,0.0,0.135677
83,6,0,0.0,0.165106
84,6,0,0.0,0.154628
85,6,0,0.0,0.19588
86,6,0,0.0,0.17441
87,6,0,0.0,0.159395
88,6,0,0.0,0.184649
89,6,0,0.0,0.219041
90,6,0,0.0,0.170406
91,6,0,0.0,0.172871
92,6,0,0.0,0.198481
93,6,0,0.0,0.110317
94,6,0,0.0,0.18268
95,6,0,0.0,0.200628
96,6,0,0.0,0.182022
97,6,0,0.0,0.159768
98,6,0,0.0,0.14773
99,6,0,0.0,0.183972
100,6,0,0.0,0.132932
101,6,0,0.0,0.150734
102,6,0,0.0,0.168665
103,6,0,0.0,0.149324
104,6,0,0.0,0.123086
105,6,0,0.0,0.167436
106,6,0,0.0,0.205989
107,6,0,0.0,0.190386
108,6,0,0.0,0.156011
109,6,0,0.0,0.168078
110,6,0,0.0,0.137794
111,6,0,0.0,0.171254
112,6,0,0.0,0.196437
113,6,0,0.0,0.122302
114,6,0,0.0,0.146858
115,6,0,0.0,0.164761
116,6,0,0.0,0.116224
117,6,0,0.0,0.109209
118,6,0,0.0,0.185978
119,6,0,0.0,0.208871
120,6,0,0.0,0.158224
121,6,0,0.0,0.152992
122,6,0,0.0,0.107715
123,6,0,0.0,0.186064
124,6,0,0.0,0.207971
125,6,0,0.0,0.157947
126,6,0,0.0,0.181515
127,6,0,0.0,0.159111
128,6,0,0.0,0.185061
129,6,0,0.0,0.147995
130,6,0,0.0,0.144128
131,6,0,0.0,0.129367
132,6,0,0.0,0.18525
133,6,0,0.0,0.160777
134,6,0,0.0,0.166079
135,6,0,0.0,0.18723
136,6,0,0.0,0.107293
137,6,0,0.0,0.117641
138,6,0,0.0,0.15097
139,6,0,0.0,0.176263
140,6,0,0.0,0.157186
141,6,0,0.0,0.206927
142,6,0,0.0,0.190807
143,6,0,0.0,0.168584
144,6,0,0.0,0.141293
145,6,0,0.0,0.149844
146,6,0,0.0,0.202132
147,6,0,0.0,0.177601
148,6,0,0.0,0.165074
149,6,0,0.0,0.165275
150,6,0,0.0,0.131964
151,6,0,0.0,0.173041
152,6,0,0.0,0.162235
153,6,0,0.0,0.191554
154,6,0,0.0,0.206411
155,6,0,0.0,0.196773
156,6,0,0.0,0.189281
157,6,0,0.0,0.149873
158,6,0,0.0,0.148338
159,6,0,0.0,0.189364
160,6,0,0.0,0.129682
161,6,0,0.0,0.15801
162,6,0,0.0,0.127864
163,6,0,0.0,0.151596
164,6,0,0.0,0.186698
165,6,0,0.0,0.165771
166,6,0,0.0,0.176877
167,6,0,0.0,0.203757
168,6,0,0.0,0.21497
169,6,0,0.0,0.144791
170,6,0,0.0,0.150633
171,6,0,0.0,0.187484
172,6,0,0.0,0.177412
173,6,0,0.0,0.16261
174,6,0,0.0,0.169128
175,6,0,0.0,0.141552
176,6,0,0.0,0.151411
177,6,0,0.0,0.177619
178,6,0,0.0,0.168913
179,6,0,0.0,0.183474
180,6,0,0.0,0.162355
181,6,0,0.0,0.161162
182,6,0,0.0,0.165123
183,6,0,0.0,0.166811
184,6,0,0.0,0.199006
185,6,0,0.0,0.185464
186,6,0,0.0,0.151933
187,6,0,0.0,0.204094
188,6,0,0.0,0.181021
189,6,0,0.0,0.127556
190,6,0,0.0,0.181903
191,6,0,0.0,0.128892
192,6,0,0.0,0.171723
193,6,0,0.0,0.148945
194,6,0,0.0,0.162937
195,6,0,0.0,0.147711
196,6,0,0.0,0.173475
197,6,0,0.0,0.183854
198,6,0,0.0,0.153752
199,6,0,0.0,0.128482
200,6,0,0.0,0.13464
201,6,0,0.0,0.111526
202,6,0,0.0,0.153083
203,6,0,0.0,0.145682
204,6,0,0.0,0.167379
205,6,0,0.0,0.163791
206,6,0,0.0,0.117847
207,6,0,0.0,0.11309
208,6,0,0.0,0.217395
209,6,0,0.0,0.187105
210,6,0,0.0,0.152436
211,6,0,0.0,0.175892
212,6,0,0.0,0.152119
213,6,0,0.0,0.129511
214,6,0,0.0,0.161733
215,6,0,0.0,0.162249
216,6,0,0.0,0.174224
217,6,0,0.0,0.160231
218,6,0,0.0,0.169297
219,6,0,0.0,0.148998
220,6,0,0.0,0.189521
221,6,0,0.0,0.154689
222,6,0,0.0,0.204868
223,6,0,0.0,0.186666
224,6,0,0.0,0.194192
225,6,0,0.0,0.162277
226,6,0,0.0,0.16051
227,6,0,0.0,0.171352
228,6,0,0.0,0.139395
229,6,0,0.0,0.200873
230,6,0,0.0,0.144437
231,6,0,0.0,0.168892
232,6,0,0.0,0.192438
233,6,0,0.0,0.153464
234,6,0,0.0,0.15224
235,6,0,0.0,0.187721
236,6,0,0.0,0.177097
237,6,0,0.0,0.148785
238,6,0,0.0,0.165742
239,6,0,0.0,0.189525
240,6,0,0.0,0.190709
241,6,0,0.0,0.173719
242,6,0,0.0,0.152308
243,6,0,0.0,0.162091
244,6,0,0.0,0.148137
245,6,0,0.0,0.200396
246,6,0,0.0,0.162201
247,6,0,0.0,0.118021
248,6,0,0.0,0.145289
249,6,0,0.0,0.183966
250,6,0,0.0,0.168141
251,6,0,0.0,0.177539
252,6,0,0.0,0.156743
253,6,0,0.0,0.114335
254,6,0,0.0,0.131642
255,6,0,0.0,0.177219
256,6,0,0.0,0.157692
257,6,0,0.0,0.144689
258,6,0,0.0,0.15651
259,6,0,0.0,0.169138
260,6,0,0.0,0.179027
261,6,0,0.0,0.181338
262,6,0,0.0,0.148108
263,6,0,0.0,0.134133
264,6,0,0.0,0.150709
265,6,0,0.0,0.156015
266,6,0,0.0,0.154159
267,6,0,0.0,0.187537
268,6,0,0.0,0.202973
269,6,0,0.0,0.120663
270,6,0,0.0,0.208979
271,6,0,0.0,0.173454
272,6,0,0.0,0.152756
273,6,0,0.0,0.155235
274,6,0,0.0,0.197129
275,6,0,0.0,0.209685
276,6,0,0.0,0.203169
277,6,0,0.0,0.164336
278,6,0,0.0,0.127933
279,6,0,0.0,0.167812
280,6,0,0.0,0.197287
281,6,0,0.0,0.186551
282,6,0,0.0,0.141811
283,6,0,0.0,0.197166
284,6,0,0.0,0.150541
285,6,0,0.0,0.220967
286,6,0,0.0,0.200617
287,6,0,0.0,0.16306
288,6,0,0.0,0.174246
289,6,0,0.0,0.157694
290,6,0,0.0,0.1414
291,6,0,0.0,0.173437
292,6,0,0.0,0.159141
293,6,0,0.0,0.152236
294,6,0,0.0,0.111685
295,6,0,0.0,0.171563
296,6,0,0.0,0.14102
297,6,0,0.0,0.093274
298,6,0,0.0,0.155548
299,6,0,0.0,0.180967
300,6,0,0.0,0.141786
301,6,0,0.0,0.142325
302,6,0,0.0,0.153857
303,6,0,0.0,0.214813
304,6,0,0.0,0.217863
305,6,0,0.0,0.196473
306,6,0,0.0,0.158636
307,6,0,0.0,0.163624
308,6,0,0.0,0.167667
309,6,0,0.0,0.179721
310,6,0,0.0,0.186273
311,6,0,0.0,0.19751
312,6,0,0.0,0.179706
313,6,0,0.0,0.100584
314,6,0,0.0,0.197429
315,6,0,0.0,0.150679
316,6,0,0.0,0.156632
317,6,0,0.0,0.203162
318,6,0,0.0,0.103504
319,6,0,0.0,0.151886
320,6,0,0.0,0.156403
321,6,0,0.0,0.156682
322,6,0,0.0,0.153126
323,6,0,0.0,0.113049
324,6,0,0.0,0.149724
325,6,0,0.0,0.173766
326,6,0,0.0,0.1422
327,6,0,0.0,0.19712
328,6,0,0.0,0.18195
329,6,0,0.0,0.179823
330,6,0,0.0,0.15583
331,6,0,0.0,0.14013
332,6,0,0.0,0.152942
333,6,0,0.0,0.164891
334,6,0,0.0,0.239422
335,6,0,0.0,0.1878
336,6,0,0.0,0.16265
337,6,0,0.0,0.185818
338,6,0,0.0,0.129915
339,6,0,0.0,0.198332
340,6,0,0.0,0.117782
341,6,0,0.0,0.153171
342,6,0,0.0,0.181377
343,6,0,0.0,0.177249
344,6,0,0.0,0.151346
345,6,0,0.0,0.184152
346,6,0,0.0,0.143151
347,6,0,0.0,0.158925
348,6,0,0.0,0.165624
349,6,0,0.0,0.133516
350,6,0,0.0,0.161052
351,6,0,0.0,0.191365
352,6,0,0.0,0.169913
353,6,0,0.0,0.202306
354,6,0,0.0,0.178749
